,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
6,55,尼古拉-约基奇,掘金,16.40,6.50-14.30,45.3%,1.20-4.80,24.6%,2.20-3.00,75%,12,30.40
7,57,埃里克-布莱索,雄鹿,16.30,6.20-13.30,46.8%,1.20-4.50,27.6%,2.60-3.40,77.3%,13,27.20
8,58,戈兰-德拉季奇,热火,16.10,5.20-11.30,46%,2.50-6.00,42.4%,3.20-4.40,72.9%,11,28.40
9,59,克里斯-保罗,雷霆,15.80,4.80-10.70,44.7%,1.60-4.00,41.1%,4.60-5.20,87.7%,14,30.40
10,59,RJ-巴雷特,尼克斯,15.80,5.90-14.30,41%,1.20-3.30,37%,2.90-5.60,50.6%,14,33.60
11,61,艾尔-霍弗德,76人,15.00,6.00-13.50,44.4%,1.50-4.80,31.6%,1.50-2.40,62.1%,12,31.80
12,62,哈桑-怀特塞德,开拓者,14.90,6.00-10.20,58.7%,0.00-0.00,0%,2.90-3.70,78.8%,14,28.10
13,62,波格丹-波格丹诺维奇,国王,14.90,5.10-11.80,43.1%,3.00-6.80,43.8%,1.80-2.30,76.7%,13,27.70
14,64,丹尼斯-施罗德,雷霆,14.80,5.70-13.10,43.5%,1.20-4.30,28.3%,2.10-2.80,76.9%,14,28.70
15,64,亚历克-伯克斯,勇士,14.80,4.60-10.50,43.7%,1.30-3.60,37.2%,4.30-4.80,89.7%,12,26.80
16,64,迈克-康利,爵士,14.80,4.80-13.50,36%,1.90-5.80,32.9%,3.20-4.20,75.9%,13,30.70
17,64,约什-理查德森,76人,14.80,5.30-12.60,42.1%,1.50-4.90,31.3%,2.60-3.10,85%,13,33.30
18,64,哈里森-巴恩斯,国王,14.80,5.20-11.10,47.2%,1.50-4.20,37%,2.80-3.60,78.7%,13,34.20
19,64,威尔-巴顿,掘金,14.80,5.30-12.10,43.8%,1.80-3.90,46.2%,2.40-3.30,72.7%,10,32.20
20,70,乔丹-克拉克森,骑士,14.60,4.80-11.30,42.9%,1.50-4.80,30.2%,3.50-3.80,90%,13,23.30
21,71,阿隆-贝恩斯,太阳,14.50,5.30-9.50,56.1%,1.90-4.30,44.2%,1.90-2.70,71.9%,12,24.00
22,71,特里斯坦-汤普森,骑士,14.50,6.20-11.60,53%,0.20-0.50,42.9%,1.90-3.10,62.5%,13,31.60
23,73,托马斯-布莱恩特,奇才,14.40,5.60-10.90,51.7%,0.60-2.60,24.1%,2.50-3.00,81.8%,11,29.10
24,74,JJ-雷迪克,鹈鹕,14.20,4.30-10.10,42.4%,3.30-7.20,46.2%,2.20-2.60,85.3%,13,27.10
25,74,布林-福布斯,马刺,14.20,4.90-11.60,41.7%,2.70-6.90,39.2%,1.80-1.90,92.6%,14,27.60
26,76,劳里-马尔卡宁,公牛,14.10,4.20-11.60,36.2%,1.60-5.90,26.8%,4.10-4.90,84.1%,14,30.50
27,76,保罗-米尔萨普,掘金,14.10,4.60-9.50,48.2%,1.40-2.80,51.5%,3.50-4.00,87.5%,12,26.30
28,76,克林特-卡佩拉,火箭,14.10,6.40-10.00,64.2%,0.00-0.00,0%,1.20-2.80,45.5%,12,30.60
29,79,小贾伦-杰克逊,灰熊,14.00,5.20-11.10,46.5%,1.60-4.30,37.5%,2.10-2.60,79.4%,13,26.00
30,80,阿龙-戈登,魔术,13.90,5.10-12.00,42.3%,1.10-4.00,28.8%,2.60-3.60,72.3%,13,31.80
31,80,巴姆-阿德巴约,热火,13.90,5.00-8.50,58.8%,0.10-0.50,16.7%,3.80-6.20,62.2%,12,32.30
32,80,杰夫-蒂格,森林狼,13.90,4.60-10.10,45.5%,0.70-2.70,25.9%,4.00-4.60,87%,10,27.80
33,83,鲁迪-戈贝尔,爵士,13.80,4.90-7.20,68.8%,0.00-0.00,0%,4.00-6.30,63.4%,13,34.80
34,84,狄龙-布鲁克斯,灰熊,13.70,4.90-12.10,40.2%,1.80-4.70,37.9%,2.20-2.50,88.6%,14,27.20
35,84,本-西蒙斯,76人,13.70,6.00-10.60,56.9%,0.00-0.00,0%,1.70-3.10,55.9%,11,33.20
36,86,泰勒-希罗,热火,13.30,4.60-10.60,43.6%,1.60-4.40,37.5%,2.40-2.70,86.7%,11,28.90
37,86,以赛亚-托马斯,奇才,13.30,5.20-11.70,44.8%,1.90-4.90,38.6%,1.00-1.10,90%,9,24.60
38,88,兰斯顿-加洛韦,活塞,13.20,4.00-8.80,45.6%,2.30-5.00,46.2%,2.80-3.10,92.5%,13,25.50
39,88,乔-哈里斯,篮网,13.20,5.00-10.30,48.5%,2.50-5.70,43.2%,0.80-1.00,76.9%,13,32.10
40,90,温德尔-卡特,公牛,13.10,5.10-8.60,59.2%,0.10-0.70,10%,2.90-4.10,70.2%,14,27.80
41,90,科比-怀特,公牛,13.10,4.80-13.40,35.8%,2.00-6.40,31.5%,1.60-2.10,75.9%,14,25.40
42,90,凯尔-库兹马,湖人,13.10,4.90-10.80,45.4%,1.90-5.80,32.8%,1.40-1.70,82.4%,10,22.20
43,90,八村垒,奇才,13.10,5.90-11.70,50.4%,0.40-1.70,21.1%,0.90-1.10,83.3%,11,27.70
44,94,罗伯特-科温顿,森林狼,13.00,4.40-9.70,45.6%,2.10-5.90,35.4%,2.10-2.20,93.5%,14,27.10
45,95,莫里茨-瓦格纳,奇才,12.70,4.80-7.60,63.1%,1.20-2.50,48.1%,1.90-2.40,80.8%,11,18.70
46,95,布兰登-克拉克,灰熊,12.70,5.40-8.70,61.9%,0.60-1.40,44.4%,1.30-1.50,85%,13,22.20
47,97,约什-哈特,鹈鹕,12.60,4.30-9.30,46.2%,2.20-5.70,38.6%,1.80-2.20,81.8%,10,27.70
48,98,里基-卢比奥,太阳,12.50,4.30-11.10,38.5%,1.10-3.20,34.3%,2.80-3.30,86.1%,11,30.80
49,98,PJ-华盛顿,黄蜂,12.50,4.60-9.00,51.6%,1.60-3.40,48.9%,1.60-2.20,71%,14,29.60
50,98,托里恩-普林斯,篮网,12.50,4.50-11.00,40.6%,2.50-6.50,38.8%,1.10-1.50,70%,13,29.70
1,101,OG-阿奴诺比,猛龙,12.40,4.90-8.50,57.8%,2.10-3.90,53.2%,0.50-0.80,60%,12,29.90
2,101,约纳斯-瓦兰丘纳斯,灰熊,12.40,5.10-9.80,52.6%,0.60-1.70,33.3%,1.60-1.60,95.7%,14,23.30
