20191030,闵行,马桥,南中街51号,28340元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956237/,1991年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,16户
20191030,闵行,马桥,东新街16号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014750941219590/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,中街153弄,27757元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206775/,1992年建成 ,板楼,暂无信息,中庭,上海闵马房地产发展有限公司,1,15户
20191030,闵行,马桥,马桥公寓,37801元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014545/,2004年建成 ,板楼,0.5元/平米/月,上海马桥物业管理有限,上海申马房地产实业有限公司,19,210户
20191030,闵行,马桥,富岩路9号,33445元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206779/,1994年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,18户
20191030,闵行,马桥,东新街2弄小区,41525元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019560/,1984年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,8,112户
20191030,闵行,马桥,东新街21号,27359元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012948553870610/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,闵行,马桥,华府天地愉园,55878元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/508440750812762/,2018年建成 ,板楼,6.8元/平米/月,上海华府天地物业管理有限,上海绿杉置业,167,934户
20191030,闵行,马桥,马桥新村,27117元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019065/,1998年建成 ,板楼,暂无信息,上海新上海商业城物业有限,上海南上海动拆迁置业有限公司,2,77户
20191030,闵行,马桥,中街157弄,26542元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057435/,1992年建成 ,板楼,0.45元/平米/月,中庭,上海闵马房地产发展有限公司,1,16户
20191030,闵行,马桥,东新街18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010337466986179/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,富岩路335弄,30229元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006939/,1995年建成 ,板楼,1.1元/平米/月,上海马桥物业管理有限,上海申马房地产实业有限公司,19,222户
20191030,闵行,马桥,西新路15弄,22921元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018419/,2006年建成 ,板楼,0.8元/平米/月,中庭,上海闵马房地产发展有限公司,7,76户
20191030,闵行,马桥,旭丽花园,36010元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017035/,1996年建成 ,板楼,2.5元/平米/月,上海环连物业管理有限,香港合裕置业,299,299户
20191030,闵行,马桥,东新街7号,29958元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014303/,1995年建成 ,板楼,暂无信息,上海实,上海东上海联合置业有限公司,1,10户
