20191030,奉贤,奉城,唐城街26弄,12244元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047521/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,21户
20191030,奉贤,奉城,东大村K区,12416元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018774/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,23,577户
20191030,奉贤,奉城,上海玫瑰园商贸城,5969元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001114/,2006年建成 ,板楼,0.55元/平米/月,暂无信息,暂无信息,1248,2416户
20191030,奉贤,奉城,褚聚小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003944/,1990年建成 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,奉贤,奉城,唐城街39号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248796/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,奉贤,奉城,盘龙小区(洪庙),12137元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010909713445084/,2016年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,14,131户
20191030,奉贤,奉城,城南丽景新苑,16227元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012503/,2006年建成 ,板楼,0.8元/平米/月,上海市奉贤区奉城镇物业管理有限,上海祯桢房地产开发有限公司,6,56户
20191030,奉贤,奉城,龙达新苑,18689元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001491/,2010年建成 ,板楼,1.5元/平米/月,暂无信息,暂无信息,13,156户
20191030,奉贤,奉城,曙光新村(奉城),16667元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206888/,1983年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,23,540户
20191030,奉贤,奉城,四合加苑,22993元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010420/,2006年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,9,18户
20191030,奉贤,奉城,唐城街25弄,11911元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370425/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,15,46户
20191030,奉贤,奉城,康碧苑,15557元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012781/,2007年建成 ,板楼,0.6元/平米/月,上海青弘物业管理有限,上海美尔置业发展有限公司,69,746户
20191030,奉贤,奉城,锦苑花园,13505元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015915/,1997年建成 ,板楼,0.4元/平米/月,上海奉贤房地产物业有限责任,暂无信息,23,525户
20191030,奉贤,奉城,竹园新村,14905元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011006139445678/,1988年建成 ,板楼,0.9元/平米/月,潍坊,上海建工房产有限公司,26,204户
20191030,奉贤,奉城,娜欧佳苑,13044元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003368/,2010年建成 ,板楼,1.75元/平米/月,上海奉房置业有限,上海兰布拉房地产发展有限公司,144,199户
20191030,奉贤,奉城,申丰新村,13013元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018656/,1997年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,8,82户
20191030,奉贤,奉城,中建公元名邸(别墅),18829元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063546716/,2015年建成 ,板楼,2.2元/平米/月,上海建腾物业管理,上海楷诚置业有限公司,219,954户
20191030,奉贤,奉城,城大新村,14674元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003362/,2000年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,13,126户
20191030,奉贤,奉城,唐城街38号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635435715318/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,奉贤,奉城,车站新村(奉贤),16458元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206634/,1990年建成 ,板楼,暂无信息,暂无信息,暂无信息,105,946户
20191030,奉贤,奉城,奉铭佳苑,19706元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206606/,2013年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,51,702户
