20191030,嘉定,嘉定老城,清河路123号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737370/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,36户
20191030,嘉定,嘉定老城,城中路138号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941420/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,嘉定老城,城中街66弄28号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941417/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,沪宜公路3111号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350597/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,福海路353号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025508311733/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,嘉安公路11、9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028050256819/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,民乐路1弄1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016211413601486/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,东大街9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103479/,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,嘉定,嘉定老城,城中南路399号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337252/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,嘉定,嘉定老城,城中路82号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370231/,2002年建成 ,未知,暂无信息,暂无信息,暂无信息,1,10户
20191030,嘉定,嘉定老城,福海路308号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389558274100/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,清河路121号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103141/,1975年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,嘉定,嘉定老城,福海路777号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926329/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,嘉定,嘉定老城,塔城路329号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373642/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中路33-8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012470469275881/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,良舍路193号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703438/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,南街1号(嘉定),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955717/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,嘉定,嘉定老城,裕民路416号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271514/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中路210号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010295305057265/,1984年建成 ,板楼,暂无信息,上海国海,利海集团,1,10户
20191030,嘉定,嘉定老城,金沙路211号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020035670220466/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,张马路45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014555468280020/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,0户
20191030,嘉定,嘉定老城,叶城路525号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024532848977/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,28户
20191030,嘉定,嘉定老城,东大街214弄,27709元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019680/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,6,0户
20191030,嘉定,嘉定老城,东大街160弄,28967元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956078/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,0户
20191030,嘉定,嘉定老城,张马路27弄,29828元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019083/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,0户
20191030,嘉定,嘉定老城,叶城路523弄8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015553954066390/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,35户
20191030,嘉定,嘉定老城,张马路26号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103935/,1976年建成 ,板楼,暂无信息,海佳大厦,海城中海润泽置业有限公司,1,24户
20191030,嘉定,嘉定老城,张马路15弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019780/,1990年建成 ,板楼,暂无信息,海新,顺达物来集团,8,108户
20191030,嘉定,嘉定老城,清河路115号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011657595334010/,1994年建成 ,板楼,暂无信息,暂无信息,海城中海润泽置业有限公司,1,33户
20191030,嘉定,嘉定老城,张马路49号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337215/,1979年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,嘉定,嘉定老城,清河路66号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020034084253442/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,30户
20191030,嘉定,嘉定老城,嘉定淮海国际广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210245/,2012年建成 ,未知,暂无信息,暂无信息,暂无信息,1,306户
20191030,嘉定,嘉定老城,群裕路38号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020031591576926/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,温宿路43号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103737/,1982年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,嘉定,嘉定老城,清河路157号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058013/,1981年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,28户
20191030,嘉定,嘉定老城,北大街155弄,28650元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210133/,1995年建成 ,板楼,0.8元/平米/月,海佳大厦,上海中友房产开发有限公司,3,66户
20191030,嘉定,嘉定老城,嘉定新城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004384/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,13,2388户
20191030,嘉定,嘉定老城,城中路205号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210188/,1984年建成 ,板楼,暂无信息,海恒,海城中海润泽置业有限公司,1,140户
20191030,嘉定,嘉定老城,温宿路61弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635417605019/,1964年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,24户
20191030,嘉定,嘉定老城,张马路18弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319423/,1973年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,69户
20191030,嘉定,嘉定老城,张马路47号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955838/,1979年建成 ,板楼,暂无信息,中创大厦物业物业管理有限,南京万家置业发展有限公司,1,24户
20191030,嘉定,嘉定老城,清河路117弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210024/,1975年建成 ,板楼,暂无信息,暂无信息,德丰地产投资中博地产德丰地产投资中博地产,4,120户
20191030,嘉定,嘉定老城,绿地嘉领国际,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010977/,1996年建成 ,塔楼,3元/平米/月,上海科瑞物业管理发展有限,绿城集团,2,1568户
20191030,嘉定,嘉定老城,绿地嘉创国际商务广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013787/,2012年建成 ,板楼,30元/平米/月,绿地永绿物业管理有限,上海绿地嘉定置业有限公司,1,41户
20191030,嘉定,嘉定老城,温宿路16弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018973/,1990年建成 ,板楼,暂无信息,德仕,南京万家置业发展有限公司,9,162户
20191030,嘉定,嘉定老城,永盛路2551弄5号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016119302467319/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,清河路173号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955834/,1981年建成 ,板楼,暂无信息,暂无信息,利海集团,1,42户
20191030,嘉定,嘉定老城,温宿路67弄,22691元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008823/,1962年建成 ,板楼,0.8元/平米/月,嘉城,上海中友房产开发有限公司,13,319户
20191030,嘉定,嘉定老城,张马路38弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019311/,1973年建成 ,板楼,0.85元/平米/月,嘉城,国瑞地产,9,152户
20191030,嘉定,嘉定老城,南大街200号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012270213279628/,1973年建成 ,板楼,暂无信息,嘉安,上海嘉房置业发展有限公司,1,32户
20191030,嘉定,嘉定老城,沪宜公路3758弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389558274178/,2005年建成 ,板楼,暂无信息,永乐物业，仙霞,上海市人民政府动迁组,5,40户
20191030,嘉定,嘉定老城,清河路179号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956202/,1981年建成 ,板楼,暂无信息,上海建玮物业/戴德梁行物业顾问,南京万家置业发展有限公司,1,28户
20191030,嘉定,嘉定老城,张马路25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337663/,1979年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,35户
20191030,嘉定,嘉定老城,福海路750号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023119648167/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中路161号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337885/,1993年建成 ,板楼,暂无信息,锦江物业，锦日,富力地产、新鸿基地产、合景泰富地产,1,108户
20191030,嘉定,嘉定老城,嘉创国际大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011146/,2010年建成 ,板楼,1.8元/平米/月,永乐物业，仙霞,上海嘉创置业有限公司,1,130户
20191030,嘉定,嘉定老城,清河路62号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319348/,1978年建成 ,板楼,暂无信息,海影,南京万家置业发展有限公司,1,24户
20191030,嘉定,嘉定老城,沪宜公路3021号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017227428956668/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,嘉定老城,沪宜公路3113号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350598/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,嘉定,嘉定老城,香溢荟苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013738689441678/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,47户
20191030,嘉定,嘉定老城,温宿路63号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103330/,1964年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,嘉定,嘉定老城,温宿路65号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389558274072/,1964年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,21户
20191030,嘉定,嘉定老城,城中路78弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057389/,1982年建成 ,板楼,暂无信息,暂无信息,德丰地产投资中博地产德丰地产投资中博地产,2,48户
20191030,嘉定,嘉定老城,张马路31号,32016元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370340/,1980年建成 ,板楼,暂无信息,暂无信息,海城中海润泽置业有限公司,1,35户
