20191030,宝山,罗店,罗芬路689弄8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453199/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,月罗公路2569号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737030/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,美丹路998弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337179/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,26,1856户
20191030,宝山,罗店,沪太路6525弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369922/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,19,31户
20191030,宝山,罗店,沪太路6497号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350483/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,宝山,罗店,年吉路220弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369550/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,11,544户
20191030,宝山,罗店,祁北东路176号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026689731945/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,金星家园(宝山),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012035779472584/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,31,306户
20191030,宝山,罗店,新桥街25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337704/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,宝山,罗店,新街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248763/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,宝山,罗店,市一路206弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248701/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,30户
20191030,宝山,罗店,东西巷街163号,22642元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016006586075326/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,宝山,罗店,华府美墅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010228/,2009年建成 ,板楼,暂无信息,上海美兰湖物业管理有限,上海安东房地产发展有限公司,46,71户
20191030,宝山,罗店,美罗家园罗智苑,29839元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210221/,2014年建成 ,板楼,1.45元/平米/月,自主,暂无信息,30,840户
20191030,宝山,罗店,市一路215号,29133元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103285/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,宝山,罗店,祁南新村,33974元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000001/,1988年建成 ,板楼,0.5元/平米/月,上海罗店物业管理有限,祁红开发有限公司,16,267户
20191030,宝山,罗店,罗太路449弄,24889元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006949/,1989年建成 ,板楼,0.5元/平米/月,上海罗店物业管理有限,上海金罗店开发有限公司,5,41户
20191030,宝山,罗店,东西巷79弄,25000元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369992/,1993年建成 ,板楼,暂无信息,暂无信息,暂无信息,12,134户
20191030,宝山,罗店,南东路61号,26732元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020593/,1996年建成 ,板楼,0.8元/平米/月,深圳市创展置地物业管理有限,上海罗南房地产有限公司,1,24户
20191030,宝山,罗店,塘西街136弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210082/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,宝山,罗店,向阳新村(宝山),28635元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013689981514290/,暂无信息 ,板楼,0.6元/平米/月,暂无信息,暂无信息,13,189户
20191030,宝山,罗店,塘东街39弄,31111元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337196/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,24户
20191030,宝山,罗店,镇东新村,26970元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001528/,1983年建成 ,板楼,0.8元/平米/月,上海宝房集团月浦物业管理有限,上海跃龙化工厂,24,413户
20191030,宝山,罗店,塘西街397弄,27423元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210078/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,48,556户
20191030,宝山,罗店,金兰雅墅,39189元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014727/,2007年建成 ,板楼,2.8元/平米/月,上海富都物业管理有限,上海金牧置业有限公司,213,216户
20191030,宝山,罗店,东太路265弄,27296元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103458/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,23户
20191030,宝山,罗店,市一路256弄,24078元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057393/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,7,38户
20191030,宝山,罗店,东南弄村公寓,26411元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002269/,1997年建成 ,板楼,0.8元/平米/月,上海宝房物业服务,上海金罗店开发有限公司,23,276户
