20191030,松江,泗泾,新凯城枫景苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001262/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,上海新凯房地产开发有限公司,28,1928户
20191030,松江,泗泾,横塘桥村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019050/,1985年建成 ,板楼,0.5元/平米/月,大和,暂无信息,52,57户
20191030,松江,泗泾,古楼公路1598号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146197/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,金地自在城(三期),39065元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018693/,2016年建成 ,未知,暂无信息,金地,上海仲骏房地产开发有限公司,12,12户
20191030,松江,泗泾,融创壹号公馆,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025179998748/,暂无信息 ,板楼,暂无信息,融创物业服务集团有限,暂无信息,31,894户
20191030,松江,泗泾,泗通路246号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5018106526740719/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,60户
20191030,松江,泗泾,鼓楼公路1183号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000374/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2519弄2-6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350381/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,开江中路256号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103645/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,松江,泗泾,文化路21号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103732/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,松江,泗泾,西安路45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030880462186/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,安乐街105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370516/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,25户
20191030,松江,泗泾,泗砖路1弄71号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270985/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,松江,泗泾,泗砖路1弄319号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2791号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350396/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,新家园路182号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862790/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路5050号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350410/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2765号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350386/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2781号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350393/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路127号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169250/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路18弄208号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169260/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路18弄82号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169267/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,鼓浪路220号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146380/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
