20191030,黄浦,董家渡,陆家浜路365号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453151/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,陆家浜路525号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453157/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,江阴街31号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044428/,1990年建成 ,塔楼,1元/平米/月,暂无信息,南房集团,1,1户
20191030,黄浦,董家渡,多稼路220号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657923/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,黄浦,董家渡,多稼路222号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657925/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,怡华大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003063/,1996年建成 ,塔板结合,暂无信息,上海怡华物业有限,南房集团,1,93户
20191030,黄浦,董家渡,桑园街10号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030000247878/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,东江阴街194号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004614/,1985年建成 ,板楼,暂无信息,暂无信息,南房集团,1,30户
20191030,黄浦,董家渡,梅家街203号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057267/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,黄浦,董家渡,西唐家弄113号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010843201745399/,1995年建成 ,板楼,暂无信息,暂无信息,南房集团,1,52户
20191030,黄浦,董家渡,永泰街43弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000989/,1986年建成 ,板楼,暂无信息,暂无信息,上海置业,4,109户
20191030,黄浦,董家渡,江阴街33号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044429/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,乔家路174弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026265915213/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,西唐家弄107弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030234093534/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,巡道街15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006121/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,8户
20191030,黄浦,董家渡,柳市路80号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319334/,1985年建成 ,板楼,暂无信息,暂无信息,南房集团,1,18户
20191030,黄浦,董家渡,望云路145号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026969787624/,1920年建成 ,板楼,暂无信息,暂无信息,南房集团,1,1户
20191030,黄浦,董家渡,巡道街小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002999/,1994年建成 ,未知,暂无信息,暂无信息,暂无信息,5,7户
20191030,黄浦,董家渡,梅家街124弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022383323401/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,光启南路188-194号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027088264592/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,赵家宅路51号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026032645242/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,13户
20191030,黄浦,董家渡,柳市路84号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207849/,1984年建成 ,板楼,0.6元/平米/月,上海阳光物业管理有限,南房集团,1,18户
20191030,黄浦,董家渡,江阴街35号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044430/,2005年建成 ,平房,暂无信息,暂无信息,南房集团,1,1户
20191030,黄浦,董家渡,三角大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012923/,1998年建成 ,塔楼,暂无信息,暂无信息,无,1,105户
20191030,黄浦,董家渡,乔家路133弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005283/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,7户
20191030,黄浦,董家渡,光启南路80号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002427/,1988年建成 ,板楼,0.3元/平米/月,上海新东门物业管理有限,上海南房(集团)有限公司,1,70户
20191030,黄浦,董家渡,大夫坊76号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208119/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,药局弄95弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001615/,1936年建成 ,板楼,0.5元/平米/月,无,上南集团有限公司,5,77户
20191030,黄浦,董家渡,巡道街88弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003798/,1983年建成 ,塔楼,0.5元/平米/月,暂无信息,上海置业,3,3户
20191030,黄浦,董家渡,光启南路286弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047505/,1979年建成 ,塔板结合/平房,0.3至1元/平米/月,上海新东门物业管理有限,上海万业企业老西门置业发展有限公司,2,14户
20191030,黄浦,董家渡,虹桥弄28弄18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026688685454/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,乔家栅小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003597/,1975年建成 ,板楼,1元/平米/月,上海徐汇物业管理,上海兴盛实业发展（集团）有限公司,6,150户
20191030,黄浦,董家渡,乔家栅路40弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103335/,1978年建成 ,板楼,暂无信息,暂无信息,南房集团,1,14户
20191030,黄浦,董家渡,东梅家街36号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027827792859/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,光启南路103号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008119/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,凝和路180号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026400126588/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,中华路353弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027321149728/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,乔家路258弄8支弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001918/,1980年建成 ,平房,0.5元/平米/月,上海,暂无信息,2,2户
20191030,黄浦,董家渡,药局弄79弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015168202617570/,1980年建成 ,板楼,0.3元/平米/月,丽南,南房集团,1,1户
20191030,黄浦,董家渡,天灯弄120弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003566/,1980年建成 ,板楼,0.6元/平米/月,临南,南房集团,3,26户
20191030,黄浦,董家渡,陆家浜路413弄,86915元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005410/,1978年建成 ,板楼,0.6元/平米/月,上海金芝置业有限,上海金芝置业有限公司,6,144户
20191030,黄浦,董家渡,集贤邨,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003751/,1932年建成 ,板楼,暂无信息,上海置业集团,上海置业,20,42户
20191030,黄浦,董家渡,申升公寓,78146元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014553/,1999年建成 ,塔楼,1.3元/平米/月,旭程物业管理有限,上海南市房地产经营有限公司,1,96户
20191030,黄浦,董家渡,中恒公寓,84796元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012849/,1999年建成 ,板楼,0.6元/平米/月,无,上海华夏房地产开发经营有限公司,1,60户
20191030,黄浦,董家渡,黄家小区,81678元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017473/,1983年建成 ,塔楼/板楼,0.6元/平米/月,上海新东门物业管理有限,上海上房房地产有限公司,7,297户
20191030,黄浦,董家渡,明日星城(二期、三期),暂无,9套在售二手房,https://sh.lianjia.com/xiaoqu/5020044590394216/,2005年建成 ,板楼,1.6至1.66元/平米/月,暂无信息,暂无信息,6,690户
